Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.01,0.61,0.43726695683239264
75% Corpus,6,0.01,0.9099999999999999,0.4144541139506423
75% Corpus,6,0.01,symmetric,0.4170530829895949
75% Corpus,6,0.31,0.01,0.43401686463320993
75% Corpus,6,0.31,0.31,0.4219635017985613
75% Corpus,6,0.31,0.61,0.4127405012439662
75% Corpus,6,0.31,0.9099999999999999,0.42818216737796866
75% Corpus,6,0.31,symmetric,0.4401787024832245
75% Corpus,6,0.61,0.01,0.43836683703064794
75% Corpus,6,0.61,0.31,0.4347146136945919
75% Corpus,6,0.61,0.61,0.42619607866179887
75% Corpus,6,0.61,0.9099999999999999,0.43910368923100346
75% Corpus,6,0.61,symmetric,0.4534313949929658
75% Corpus,6,0.9099999999999999,0.01,0.4445537295821254
75% Corpus,6,0.9099999999999999,0.31,0.43268842365408783
75% Corpus,6,0.9099999999999999,0.61,0.44299588168537835
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4359844205201407
75% Corpus,6,0.9099999999999999,symmetric,0.47094610773108236
75% Corpus,6,symmetric,0.01,0.42978495568550285
75% Corpus,6,symmetric,0.31,0.439071366399391
75% Corpus,6,symmetric,0.61,0.42948143256221655
75% Corpus,6,symmetric,0.9099999999999999,0.4328772666135057
75% Corpus,6,symmetric,symmetric,0.40595603139393216
75% Corpus,6,asymmetric,0.01,0.4206011246451226
75% Corpus,6,asymmetric,0.31,0.4236899231764721
75% Corpus,6,asymmetric,0.61,0.45979926030877055
75% Corpus,6,asymmetric,0.9099999999999999,0.45458104201924615
75% Corpus,6,asymmetric,symmetric,0.4344929444654338
75% Corpus,7,0.01,0.01,0.404452266107329
75% Corpus,7,0.01,0.31,0.43158992558079107
75% Corpus,7,0.01,0.61,0.4354447237958871
75% Corpus,7,0.01,0.9099999999999999,0.4366026028244802
75% Corpus,7,0.01,symmetric,0.4376944679757088
75% Corpus,7,0.31,0.01,0.4271505517820113
75% Corpus,7,0.31,0.31,0.4235006921020675
75% Corpus,7,0.31,0.61,0.4309775441771054
75% Corpus,7,0.31,0.9099999999999999,0.47928593314868173
75% Corpus,7,0.31,symmetric,0.41401205603005126
75% Corpus,7,0.61,0.01,0.4424676919508605
75% Corpus,7,0.61,0.31,0.4412696766509523
75% Corpus,7,0.61,0.61,0.4539427207981102
